price,model_year,model,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,date_posted,days_listed,condition
16999,2013,chevrolet silverado 1500,8,gas,137230,automatic,truck,white,1,2018-05-29,24,fair
10499,2017,chevrolet cruze,4,gas,53601,automatic,sedan,black,0,2019-01-13,48,good
15999,2017,chevrolet cruze,4,gas,17498,automatic,sedan,black,0,2018-11-07,54,excellent
14950,2012,ram 1500,8,gas,114773,automatic,truck,grey,1,2019-04-09,85,fair
6950,2013,nissan altima,4,gas,158786,automatic,sedan,Unknown,0,2018-12-24,41,fair
23300,2018,nissan frontier crew cab sv,6,gas,27493,other,pickup,Unknown,1,2018-10-13,36,excellent
1900,1994,jeep grand cherokee laredo,6,gas,207,automatic,SUV,grey,1,2018-07-27,9,like new
3000,2010,nissan versa,4,gas,200412,automatic,hatchback,silver,0,2018-09-23,33,salvage
4200,2012,ford focus,4,gas,144273,automatic,sedan,silver,0,2018-06-11,19,fair
23800,2019,nissan frontier crew cab sv,6,gas,10899,other,pickup,silver,1,2019-02-28,30,excellent
16500,2012,ford f-250 sd,8,gas,123262,automatic,truck,silver,1,2018-09-25,47,fair
26900,2014,chevrolet silverado 1500 crew,8,gas,68607,automatic,pickup,Unknown,1,2018-09-08,10,good
5900,2000,ford f250 super duty,8,diesel,202752,automatic,pickup,red,0,2018-07-08,32,salvage
9950,2014,dodge charger,8,gas,102878,automatic,sedan,white,0,2018-06-02,28,fair
11950,2008,chevrolet silverado,8,gas,170000,automatic,truck,black,1,2019-03-13,38,fair
4826,2000,gmc yukon,8,gas,226111,automatic,SUV,grey,1,2018-06-30,14,salvage
9599,2011,chevrolet camaro,6,gas,100680,manual,coupe,silver,0,2018-10-26,18,fair
18800,2015,chevrolet camaro lt coupe 2d,6,gas,33926,other,coupe,grey,0,2019-01-16,152,excellent
18000,2010,ram 1500,8,gas,50500,automatic,truck,white,1,2018-06-16,11,good
2800,2010,chevrolet colorado,5,gas,200800,automatic,pickup,Unknown,0,2018-07-24,10,salvage
2950,2003,chevrolet silverado,8,gas,230000,automatic,pickup,Unknown,0,2018-05-06,24,salvage
32000,2017,honda pilot,6,gas,32104,automatic,SUV,white,0,2018-07-12,100,excellent
8995,2012,toyota rav4,4,gas,124526,automatic,SUV,black,1,2018-12-14,24,fair
9995,2017,hyundai sonata,4,gas,105985,automatic,sedan,white,0,2018-05-02,18,fair
24600,2013,ford mustang gt coupe 2d,8,gas,22474,other,coupe,white,0,2018-10-28,22,excellent
6500,2012,ford fusion se,6,gas,90000,automatic,sedan,grey,0,2018-09-20,94,good
3995,2008,subaru forester,4,gas,165000,automatic,SUV,white,1,2018-12-24,19,fair
39950,2018,chevrolet silverado,8,gas,18500,automatic,truck,Unknown,1,2018-08-05,16,excellent
26000,2015,chevrolet silverado 1500 crew,8,gas,92281,automatic,pickup,white,1,2019-04-02,82,good
18700,2017,nissan frontier crew cab sv,6,gas,40002,other,pickup,white,0,2018-06-01,44,good
5500,2004,ford explorer,6,gas,140355,automatic,SUV,white,1,2018-09-10,35,fair
22900,2014,ford f150 supercrew cab xlt,6,gas,73711,automatic,pickup,white,1,2019-02-27,141,good
26700,2015,ford f150 supercrew cab xlt,6,gas,48278,other,pickup,brown,1,2018-09-22,64,good
21500,2019,nissan frontier crew cab sv,6,gas,16168,other,pickup,white,0,2019-03-29,70,excellent
19700,2017,chevrolet camaro lt coupe 2d,6,gas,35807,other,coupe,black,0,2019-03-11,33,excellent
22800,2013,ford f-350 sd,8,diesel,207738,automatic,truck,brown,1,2018-11-08,62,salvage
28400,2017,ford mustang gt coupe 2d,8,gas,6665,other,coupe,blue,0,2018-05-16,46,like new
29900,2018,ford mustang gt coupe 2d,8,gas,3827,automatic,coupe,yellow,0,2019-03-22,48,like new
22500,2019,nissan frontier crew cab sv,6,gas,24209,other,pickup,Unknown,1,2019-03-03,73,excellent
24600,2014,chevrolet silverado 1500 crew,6,gas,85048,automatic,pickup,silver,1,2018-08-19,96,good
21900,2018,nissan frontier crew cab sv,6,gas,27576,other,pickup,Unknown,1,2018-11-22,58,excellent
4600,2012,nissan versa,4,gas,146000,automatic,sedan,Unknown,0,2018-06-07,32,fair
33900,2018,chevrolet silverado 1500 crew,8,gas,11315,other,pickup,white,1,2019-03-01,2,excellent
4800,2006,honda accord,4,gas,195000,automatic,sedan,silver,0,2018-12-12,49,salvage
4500,2012,chevrolet impala,6,gas,145000,automatic,sedan,white,0,2018-10-10,38,fair
21595,2015,chevrolet silverado 1500,8,gas,92634,automatic,truck,black,1,2018-11-15,53,good
37000,2018,chevrolet silverado 1500 crew,8,gas,30465,other,pickup,white,1,2019-01-13,55,excellent
10999,2010,ford edge,6,gas,98193,automatic,SUV,blue,1,2018-08-11,78,good
2900,2000,nissan maxima,6,gas,170000,automatic,sedan,green,0,2018-09-23,12,fair
2700,2005,chevrolet equinox,6,gas,150352,automatic,SUV,silver,0,2019-04-02,49,fair
9500,2009,ford f-250,8,gas,189490,automatic,truck,white,1,2018-08-03,6,salvage
4900,2011,nissan sentra,4,gas,116000,automatic,sedan,silver,0,2018-11-30,19,fair
24000,2018,nissan frontier crew cab sv,6,gas,16295,other,pickup,blue,1,2018-05-26,30,excellent
24700,2015,ford mustang gt coupe 2d,8,gas,37270,other,coupe,black,0,2019-04-16,41,excellent
26900,2014,chevrolet silverado 1500 crew,8,gas,68607,automatic,pickup,black,1,2018-07-28,18,good
19500,2014,ford f150,8,gas,116000,automatic,truck,grey,1,2018-06-26,40,fair
2000,1993,ford f-150,8,gas,258225,automatic,truck,red,0,2019-03-06,34,salvage
13995,2010,chevrolet silverado 1500,8,gas,151442,automatic,truck,silver,1,2018-12-20,72,fair
39990,2015,chevrolet corvette,8,gas,17340,manual,coupe,Unknown,0,2018-07-14,38,excellent
11995,2012,chevrolet suburban,8,gas,158487,automatic,SUV,grey,1,2018-11-10,16,fair
15995,2013,jeep wrangler,6,gas,138806,automatic,SUV,black,1,2018-09-08,112,fair
7995,2012,chevrolet cruze,4,gas,81559,automatic,sedan,black,0,2018-12-16,57,good
28250,2017,chevrolet silverado 1500,8,gas,13808,automatic,truck,white,1,2018-08-17,11,excellent
6995,2004,ford expedition,8,gas,92546,automatic,SUV,blue,1,2018-05-23,18,good
13900,2016,dodge grand caravan,6,gas,62711,automatic,van,black,0,2019-04-11,37,good
28975,2017,chevrolet silverado 1500,8,gas,8354,automatic,truck,black,1,2019-01-07,13,like new
14995,2011,jeep wrangler,6,gas,118371,automatic,SUV,orange,1,2019-01-25,49,fair
25600,2017,ford mustang gt coupe 2d,8,gas,42957,other,coupe,Unknown,0,2019-01-24,83,good
12990,2011,ford expedition,8,gas,124775,automatic,SUV,custom,1,2018-06-11,50,fair
6300,2010,ford taurus,6,gas,155743,automatic,sedan,Unknown,0,2018-11-01,30,fair
26400,2016,ford mustang gt coupe 2d,8,gas,16890,other,coupe,white,0,2018-05-15,10,excellent
17300,2014,chevrolet camaro lt coupe 2d,6,gas,27915,other,coupe,red,0,2019-01-16,25,excellent
26700,2017,ford mustang gt coupe 2d,8,gas,26192,other,coupe,black,0,2019-02-14,17,excellent
18975,2012,chevrolet silverado 1500,8,gas,24390,automatic,truck,white,0,2018-11-15,61,excellent
31800,2018,chevrolet silverado 1500 crew,8,gas,22838,automatic,pickup,white,1,2019-01-29,29,excellent
3995,1999,acura tl,6,gas,180000,automatic,sedan,black,0,2018-06-19,52,fair
18600,2012,ford mustang gt coupe 2d,8,gas,96562,other,coupe,red,0,2018-12-20,14,good
3995,2001,ford ranger,6,gas,102000,automatic,truck,brown,0,2018-05-27,79,fair
7975,2007,gmc sierra,8,gas,228409,automatic,truck,white,0,2018-10-27,15,salvage
9950,2008,toyota 4runner,6,gas,207348,automatic,SUV,Unknown,1,2018-10-28,11,salvage
3595,2005,chevrolet impala,6,gas,147667,automatic,sedan,red,0,2018-11-12,30,fair
9850,2008,chevrolet silverado 1500,8,gas,182225,automatic,truck,blue,1,2018-08-15,36,salvage
18600,2012,ford mustang gt coupe 2d,8,gas,96562,other,coupe,red,0,2018-07-31,59,good
5995,2006,ford ranger,6,gas,148600,automatic,truck,silver,1,2018-11-10,35,fair
6900,2011,subaru outback,6,gas,135445,automatic,SUV,Unknown,1,2018-11-02,57,fair
31400,2016,chevrolet silverado 1500 crew,8,gas,15070,automatic,pickup,black,1,2019-01-17,64,excellent
24200,2018,nissan frontier crew cab sv,6,gas,11034,other,pickup,blue,1,2018-06-29,9,excellent
7500,1997,ford mustang,8,gas,185000,manual,coupe,white,0,2019-01-05,9,salvage
11950,2003,jeep wrangler,6,gas,97211,automatic,SUV,custom,1,2018-08-01,15,good
16950,2010,jeep wrangler,6,gas,85490,other,SUV,red,1,2018-12-26,29,good
6500,2009,hyundai santa fe,6,gas,98000,manual,SUV,Unknown,0,2019-03-18,27,good
15000,2009,toyota tacoma,6,gas,221000,automatic,truck,black,1,2019-02-20,30,salvage
52000,2008,ford f350 super duty,8,diesel,117500,automatic,truck,grey,1,2018-06-27,24,fair
10950,2011,ford expedition,8,gas,130390,automatic,SUV,Unknown,1,2018-12-23,33,fair
23000,2018,honda accord,4,gas,15000,manual,sedan,Unknown,0,2018-08-22,37,excellent
3950,2009,subaru impreza,4,gas,137882,automatic,hatchback,silver,1,2018-08-22,19,fair
5295,2005,ford f-150,8,gas,225000,automatic,pickup,white,1,2018-06-19,15,salvage
8999,2013,ford escape,4,gas,122964,automatic,wagon,Unknown,1,2018-06-03,31,fair
5999,2012,nissan versa,4,gas,76737,automatic,sedan,silver,0,2018-07-31,3,good
10000,2006,ford f-150,8,gas,181000,automatic,truck,silver,1,2018-07-17,9,salvage
17999,2008,gmc sierra 2500hd,8,diesel,101959,automatic,truck,white,1,2018-05-06,46,fair
7999,2012,nissan rogue,4,gas,93496,automatic,wagon,black,0,2018-10-15,29,good
28200,2012,ford f-350 sd,8,diesel,129000,automatic,truck,black,1,2018-07-15,30,fair
2000,2002,honda civic lx,4,gas,216875,automatic,coupe,red,0,2018-05-21,47,salvage
22914,2015,bmw x5,6,gas,69686,automatic,SUV,white,1,2018-08-11,19,good
19900,2013,ford f-150,6,gas,79657,automatic,truck,silver,1,2018-10-30,42,good
24495,2016,ford explorer,6,gas,50123,automatic,SUV,white,1,2018-11-17,49,good
5300,2010,dodge charger,8,gas,156000,automatic,sedan,white,0,2018-07-04,43,fair
22900,2015,gmc sierra 1500,8,gas,85190,automatic,truck,custom,1,2018-05-15,24,good
14685,2011,toyota tacoma,6,gas,145671,automatic,truck,black,1,2019-01-03,8,fair
24869,2015,gmc sierra 1500,8,gas,82056,automatic,truck,black,1,2019-03-20,23,good
4999,2005,toyota camry le,4,gas,105000,automatic,sedan,silver,0,2019-03-01,60,fair
7800,2012,chevrolet traverse,6,gas,157000,automatic,SUV,blue,1,2018-11-30,4,fair
12500,2009,cadillac escalade,8,gas,159000,automatic,SUV,Unknown,1,2018-10-01,26,fair
4975,2007,honda odyssey,6,gas,205000,automatic,mini-van,brown,0,2018-10-28,35,salvage
2795,2003,volkswagen jetta,4,gas,178950,manual,sedan,Unknown,0,2018-05-20,98,fair
41800,2018,chevrolet silverado 3500hd,8,gas,148459,automatic,truck,Unknown,1,2019-03-19,11,fair
10800,2015,toyota camry,4,gas,28150,automatic,sedan,black,1,2018-09-25,24,excellent
2750,2006,honda civic lx,4,gas,200,manual,sedan,black,0,2018-07-06,41,like new
7995,2008,jeep grand cherokee,6,gas,104613,automatic,SUV,silver,1,2018-05-23,23,fair
22500,2013,ford f-250 sd,8,gas,128415,automatic,truck,green,1,2019-03-03,32,fair
9995,2013,chrysler town & country,6,gas,81999,automatic,van,Unknown,0,2019-01-07,71,good
6995,2005,honda accord,6,gas,45429,automatic,sedan,grey,0,2018-11-04,53,good
11795,2015,toyota tacoma,4,gas,111048,automatic,truck,white,0,2018-09-30,30,fair
6995,2011,hyundai sonata,4,gas,117371,automatic,sedan,grey,1,2019-02-26,20,fair
6795,2013,volkswagen passat,5,gas,119453,automatic,sedan,red,0,2018-12-12,19,fair
6795,2012,volkswagen jetta,5,gas,104310,automatic,sedan,white,0,2019-03-11,16,fair
7995,2014,chevrolet cruze,4,gas,120052,automatic,sedan,blue,0,2018-10-27,27,fair
25800,2015,toyota tacoma,6,gas,49900,automatic,pickup,white,1,2018-07-24,39,good
8595,2010,toyota prius,4,gas,99630,automatic,hatchback,white,0,2019-02-05,44,good
8995,2010,toyota prius,4,gas,74138,automatic,hatchback,white,0,2018-07-09,38,good
7100,2004,ford f-150,8,gas,121000,automatic,truck,Unknown,1,2019-03-10,23,fair
4795,2007,nissan altima,4,gas,131020,automatic,sedan,grey,0,2018-10-19,31,fair
6500,2009,ford f-250,8,gas,113000,automatic,pickup,white,1,2018-09-09,19,fair
1500,2001,jeep grand cherokee,6,gas,185000,automatic,SUV,black,1,2018-10-15,56,salvage
9799,2017,nissan altima,4,gas,51153,automatic,sedan,silver,1,2018-06-23,35,good
11799,2014,chevrolet camaro,6,gas,50468,automatic,coupe,yellow,0,2018-12-30,39,good
5700,2002,chevrolet silverado 1500,8,gas,105000,automatic,pickup,silver,1,2018-06-17,68,fair
3700,2009,nissan rogue,4,gas,174902,automatic,SUV,black,0,2019-03-14,31,fair
11799,2015,chevrolet camaro,6,gas,26881,automatic,coupe,red,0,2019-02-03,21,excellent
9299,2016,nissan altima,4,gas,47833,automatic,sedan,silver,0,2019-01-19,75,good
3750,2007,jeep grand cherokee laredo,6,gas,131800,automatic,SUV,grey,1,2018-06-29,50,fair
3800,2012,nissan altima,4,gas,186576,automatic,sedan,black,0,2019-01-02,37,salvage
7995,2011,subaru forester,4,gas,112000,automatic,SUV,blue,1,2019-02-12,53,fair
23200,2018,chevrolet camaro lt coupe 2d,6,gas,7136,other,coupe,black,0,2018-08-18,25,like new
5500,1981,chevrolet corvette,8,gas,75000,automatic,coupe,blue,0,2019-01-15,49,good
9100,2014,kia sorento,4,gas,100100,automatic,SUV,silver,1,2018-08-30,74,fair
18675,2015,ram 1500,8,gas,86115,automatic,truck,Unknown,1,2018-11-11,7,good
13889,2005,gmc sierra 2500hd,8,gas,95914,automatic,truck,custom,1,2018-07-13,37,good
5000,2011,toyota camry le,4,gas,173000,automatic,sedan,white,0,2018-06-26,19,fair
3250,2001,ford f150,8,gas,296000,automatic,truck,black,1,2018-12-07,24,salvage
28200,2012,ford f-350 sd,8,diesel,129000,automatic,truck,black,1,2018-09-26,28,fair
15900,2016,ford escape,4,gas,19764,automatic,SUV,Unknown,1,2018-12-09,48,excellent
22914,2015,bmw x5,6,gas,69686,automatic,SUV,white,1,2018-07-07,9,good
22900,2015,gmc sierra 1500,8,gas,85190,automatic,truck,Unknown,1,2018-08-24,11,good
19900,2013,ford f-150,6,gas,79657,automatic,truck,silver,1,2019-03-01,4,good
24869,2015,gmc sierra 1500,8,gas,82056,automatic,truck,black,1,2018-06-29,22,good
22399,2011,gmc sierra 2500hd,8,gas,121047,automatic,pickup,Unknown,1,2018-05-17,66,fair
17379,2007,jeep wrangler,6,gas,111921,automatic,SUV,Unknown,1,2018-12-26,50,fair
5999,2012,nissan altima,4,gas,99000,automatic,sedan,black,0,2018-12-27,28,good
10900,2012,toyota tacoma,4,gas,132000,manual,pickup,red,1,2018-10-10,46,fair
3500,2004,toyota camry,4,gas,155000,automatic,sedan,white,0,2018-11-16,33,fair
41999,2018,ram 3500,6,diesel,5127,automatic,truck,black,0,2018-08-03,11,like new
35999,2015,ram 2500,6,diesel,157558,automatic,truck,grey,1,2018-12-13,59,fair
31999,2011,ram 3500,6,diesel,148128,automatic,truck,Unknown,1,2018-11-21,64,fair
28999,2012,ram 2500,6,diesel,146875,automatic,truck,silver,1,2018-07-22,51,fair
32999,2012,ram 3500,6,diesel,126201,automatic,truck,silver,1,2018-10-26,58,fair
7800,2010,nissan frontier,6,gas,160266,automatic,truck,red,1,2018-08-06,55,fair
14999,2016,honda cr-v,4,gas,32000,automatic,SUV,grey,1,2018-08-10,66,excellent
19999,2015,gmc sierra,8,gas,43000,automatic,truck,white,1,2019-04-01,63,good
4999,2008,chrysler town & country,6,gas,129448,automatic,mini-van,white,0,2018-06-15,13,fair
15600,2016,subaru outback,4,gas,106700,automatic,wagon,black,1,2018-05-08,40,fair
2500,2016,honda civic,4,gas,35000,automatic,sedan,white,0,2018-10-12,8,excellent
14999,2013,ford f-150,6,gas,52520,automatic,truck,white,1,2018-05-02,23,good
7999,2013,ford focus,4,gas,127230,automatic,sedan,red,0,2018-09-28,9,fair
9877,2010,toyota corolla,4,gas,153510,automatic,sedan,white,0,2018-07-06,17,fair
8850,2017,nissan versa,4,gas,31501,automatic,sedan,white,0,2018-12-28,42,excellent
24900,2016,chevrolet silverado 1500,8,gas,32000,automatic,truck,silver,1,2019-01-29,5,excellent
3900,2016,ford explorer,6,gas,52000,automatic,SUV,blue,0,2018-08-18,10,good
2700,2016,honda civic,4,gas,27000,automatic,sedan,white,0,2018-06-20,73,excellent
13500,2012,gmc sierra 1500,8,gas,143000,automatic,truck,silver,0,2019-02-18,81,fair
12750,2011,gmc sierra 2500hd,8,gas,226000,automatic,truck,white,1,2018-10-28,29,salvage
9500,2015,nissan altima,4,gas,84000,automatic,sedan,red,0,2019-02-07,34,good
6500,2012,dodge grand caravan,6,gas,119156,automatic,mini-van,Unknown,0,2018-09-11,14,fair
3000,2016,nissan rogue,4,gas,58000,automatic,SUV,blue,0,2019-03-04,14,good
600,1999,toyota camry le,4,gas,216348,automatic,sedan,white,0,2019-03-04,23,salvage
2900,2016,honda civic,4,gas,18000,automatic,sedan,grey,0,2018-06-14,13,excellent
5500,2017,ford explorer,6,gas,25000,automatic,SUV,grey,1,2019-03-01,10,excellent
11900,2005,ford f250 super duty,8,diesel,119358,automatic,truck,blue,0,2018-05-27,62,fair
30000,2015,jeep wrangler unlimited,6,gas,13365,automatic,SUV,white,1,2019-03-28,31,excellent
15250,2011,ford f-150,8,gas,97000,automatic,truck,grey,1,2019-03-30,37,good
2800,2002,honda accord,6,gas,211000,automatic,sedan,Unknown,0,2018-12-10,18,salvage
9700,2000,toyota 4runner,6,gas,200116,automatic,SUV,Unknown,1,2018-11-10,17,salvage
10000,1995,chevrolet corvette,8,gas,127807,automatic,coupe,Unknown,0,2019-01-08,30,fair
4500,2009,jeep liberty,6,gas,171000,automatic,SUV,black,1,2019-01-23,16,fair
11295,2015,nissan altima,4,gas,80148,automatic,sedan,Unknown,0,2018-08-16,35,good
500,2004,toyota corolla,4,gas,226980,automatic,sedan,Unknown,0,2018-09-19,19,salvage
5900,2007,ram 2500,8,gas,229000,automatic,pickup,white,1,2018-07-10,61,salvage
13000,2004,chevrolet corvette,8,gas,85104,automatic,convertible,blue,0,2018-10-12,127,good
9200,2017,nissan sentra,4,gas,12000,automatic,sedan,grey,0,2018-12-26,26,excellent
5999,2007,chrysler 300,6,gas,122000,automatic,sedan,grey,0,2018-12-05,6,fair
6000,2005,subaru outback,4,gas,148000,automatic,wagon,blue,0,2018-06-26,47,fair
12995,2009,chevrolet suburban,8,gas,157976,automatic,SUV,white,1,2018-12-17,32,fair
15800,2009,gmc sierra 1500,8,gas,150000,automatic,truck,white,0,2018-07-03,36,fair
4000,2005,honda pilot,6,gas,167000,automatic,SUV,red,1,2018-05-12,8,fair
17999,1996,chevrolet corvette,8,gas,30469,manual,convertible,Unknown,0,2018-05-10,59,excellent
19995,2012,chevrolet tahoe,8,gas,129516,automatic,SUV,Unknown,1,2019-03-28,61,fair
2999,2004,volkswagen jetta,4,gas,149000,manual,sedan,silver,0,2018-07-31,15,fair
1900,1999,ford ranger,6,gas,191135,automatic,truck,yellow,1,2018-08-02,26,salvage
5999,2002,bmw x5,6,gas,153000,automatic,SUV,white,1,2018-05-23,82,fair
6999,2006,acura tl,6,gas,169269,automatic,sedan,white,0,2018-09-15,28,fair
8600,2012,ford mustang,6,gas,126000,automatic,coupe,black,0,2018-06-07,45,fair
28000,2017,chevrolet silverado,8,gas,53000,automatic,truck,white,1,2019-01-17,91,good
25000,2015,chevrolet silverado,8,gas,150000,automatic,truck,white,1,2019-03-08,75,fair
4000,2002,ford escape,6,gas,98000,automatic,SUV,silver,1,2019-01-27,11,good
16600,1975,chevrolet corvette,8,gas,75000,manual,coupe,Unknown,0,2019-03-09,69,good
18400,1975,chevrolet corvette,8,gas,18000,automatic,coupe,orange,0,2019-01-06,41,excellent
12500,2017,subaru impreza,4,gas,25000,automatic,wagon,grey,1,2019-02-18,78,excellent
44900,2017,gmc sierra 2500hd,8,diesel,23455,automatic,pickup,Unknown,1,2018-06-10,89,excellent
5900,2013,nissan altima,4,gas,57075,automatic,sedan,white,0,2019-02-22,44,good
8875,2012,toyota prius,4,gas,129843,automatic,hatchback,Unknown,0,2018-12-28,60,fair
18875,2015,ford explorer,6,gas,83823,automatic,SUV,white,0,2019-01-27,13,good
6975,2018,nissan sentra,4,gas,34611,automatic,sedan,Unknown,0,2018-09-14,30,excellent
34275,2018,jeep wrangler,6,gas,27403,automatic,SUV,black,1,2018-12-23,11,excellent
11675,2012,gmc acadia,6,gas,113417,automatic,SUV,white,1,2018-11-16,39,fair
24995,2016,subaru outback,6,gas,32889,automatic,SUV,grey,1,2018-11-06,48,excellent
11375,2012,toyota sienna,6,gas,135907,automatic,van,silver,0,2018-10-03,9,fair
15900,2011,jeep wrangler,6,gas,163943,automatic,SUV,black,1,2018-07-04,61,fair
4975,2010,ford explorer,6,gas,55486,automatic,SUV,blue,1,2018-08-09,108,good
5500,2001,nissan frontier,6,gas,125000,manual,pickup,black,1,2019-01-20,11,fair
19500,2010,ford f-150,8,gas,64200,automatic,truck,custom,1,2019-01-16,52,good
24998,2006,chevrolet silverado 2500hd,8,diesel,181787,automatic,truck,black,1,2019-04-05,94,salvage
6995,2011,nissan rogue,4,gas,118802,automatic,SUV,blue,1,2018-11-11,23,fair
5995,2014,ford focus,4,gas,87654,automatic,hatchback,Unknown,0,2018-06-22,44,good
5495,2009,honda accord,4,gas,118791,automatic,sedan,black,0,2018-11-09,114,fair
6500,1996,chevrolet corvette,8,gas,114300,automatic,coupe,red,0,2018-12-13,55,fair
27995,2017,chevrolet silverado 1500,8,gas,72965,automatic,truck,black,1,2018-07-23,42,good
8995,2012,honda accord,4,gas,112713,automatic,sedan,red,0,2018-10-30,25,fair
10995,2007,chevrolet tahoe,8,gas,162999,automatic,SUV,grey,1,2018-11-09,24,fair
11995,2012,chevrolet suburban,8,gas,163100,automatic,SUV,Unknown,1,2018-05-06,35,fair
19500,2014,ford f-150,6,gas,95000,automatic,truck,blue,1,2018-09-06,84,good
8600,2013,kia sorento,4,gas,110367,automatic,SUV,blue,1,2018-10-12,7,fair
8290,2011,hyundai sonata,4,gas,66501,automatic,sedan,silver,0,2018-12-07,34,good
8950,2011,toyota camry,4,gas,133018,automatic,sedan,red,0,2018-07-17,79,fair
6995,2012,dodge grand caravan,6,gas,160501,automatic,mini-van,black,0,2019-02-07,22,fair
14900,2008,jeep wrangler,6,gas,149167,automatic,SUV,custom,1,2019-01-06,18,fair
4800,2004,toyota sienna,6,gas,143000,automatic,van,silver,0,2018-06-02,17,fair
22975,2012,ram 2500,6,diesel,119546,automatic,pickup,white,1,2019-01-24,34,fair
9500,2005,jeep wrangler,6,gas,151000,automatic,SUV,silver,1,2019-03-18,32,fair
5950,2015,ford focus,4,gas,36000,automatic,hatchback,silver,0,2018-08-23,110,excellent
2700,2000,ford mustang,6,gas,140000,manual,coupe,red,0,2019-02-15,16,fair
288,2018,nissan altima,4,gas,40277,automatic,sedan,silver,0,2018-10-19,37,good
